ID,Direction,Community,Elevator,Floor,TotalFloor,Layout,Price,Region,Renovation,Size,Year
101122188414,南北,首开常青藤二期,有,低楼层,6,3室1厅,650.0,朝阳,简装,91.19,2013
101121748777,南北,北街家园八区,有,中楼层,17,2室1厅,356.0,昌平,精装,87.77,
101121548718,西,万年花城三期,有,底层,16,2室1厅,420.0,丰台,精装,79.89,2006
101123385956,南,中海金玺公馆,有,高楼层,15,2室1厅,598.0,石景山,简装,89.78,2017
101119770315,南北,草桥东路16号楼,有,中楼层,14,2室1厅,386.0,丰台,简装,63.45,
101123004780,南北,看丹路10号院,无,底层,6,3室1厅,285.0,丰台,简装,60.08,1980
101121870403,东西北,富力惠兰美居,有,高楼层,28,2室1厅,239.0,通州,精装,77.73,
101123799030,西南北,恒兴大厦,有,低楼层,25,3室1厅,1205.0,海淀,精装,143.92,2000
101123195567,南,凯盛家园,有,中楼层,14,1室1厅,318.0,海淀,简装,60.43,
101123169730,南,金隅景和园,有,低楼层,21,1室1厅,300.0,朝阳,精装,61.36,2011
101122013453,东南,河畔丽景,有,高楼层,28,1室1厅,263.0,通州,简装,74.42,
101123355359,南西北,住欣家园,有,高楼层,26,3室1厅,299.0,朝阳,精装,89.52,
101123198135,西南北,将府家园,有,高楼层,20,3室2厅,598.0,朝阳,简装,141.45,
101123542906,南,蓟门北里,无,中楼层,7,3室1厅,620.0,海淀,简装,77.4,
101122396993,西南,道家园,有,高楼层,20,2室1厅,355.0,朝阳,精装,68.38,
101120355223,南北,中央财经大学家属楼,无,高楼层,6,3室1厅,590.0,海淀,精装,82.96,
101122358937,南北,田家园小区,无,中楼层,6,3室2厅,142.0,房山,精装,116.97,
101123401867,南,铁路宿舍,无,低楼层,6,1室1厅,135.0,通州,简装,43.12,1988
101123802867,南北,京师园,有,中楼层,21,3室1厅,1280.0,朝阳,精装,118.24,2004
101123354475,北南,善缘嘉园,无,顶层,6,2室1厅,178.0,昌平,精装,57.36,
101122261628,南北,保利紫荆香谷南区,有,低楼层,16,3室2厅,430.0,昌平,精装,94.92,2017
101121959224,西,长城国际,有,低楼层,22,1室1厅,178.0,通州,精装,54.01,
101123930824,东北,万方景轩,有,高楼层,18,1室1厅,590.0,朝阳,精装,63.59,2005
101121907356,南北,玉泉路16号院,有,中楼层,5,3室1厅,710.0,海淀,简装,96.6,
101122094175,南北,芳城东里,无,高楼层,7,3室2厅,530.0,丰台,精装,103.5,1995
101123129218,东西,八里庄北里小区,有,中楼层,12,3室1厅,369.0,朝阳,精装,82.78,
101122158847,北南,世界名园D区,有,底层,9,2室2厅,139.0,房山,简装,93.8,
101123634761,西南,东风家园,有,高楼层,18,2室1厅,478.0,朝阳,精装,84.62,2000
101123959179,南北,世界名园南区,有,中楼层,6,2室1厅,123.0,房山,精装,90.85,2011
101119031636,南,城市亮点,有,中楼层,12,2室1厅,739.0,东城,精装,84.57,
101121633407,南西,北京城建畅悦居A区,有,低楼层,21,2室1厅,326.0,昌平,简装,81.39,2016
101118709168,南北,卢沟桥北里,无,中楼层,5,2室1厅,165.0,丰台,简装,53.25,
101122366198,南北,阳光花园,有,中楼层,19,2室1厅,668.0,丰台,精装,89.01,
101121299204,南北,东惠家园4号院,有,中楼层,27,3室1厅,375.0,通州,精装,107.82,2021
101123045493,南北,泰晤士印象,有,低楼层,14,3室1厅,202.0,通州,精装,102.59,2016
101122503440,东,北纬40度一期,有,顶层,29,1室2厅,499.0,朝阳,精装,76.15,
101121694370,南北,欧郡香水城,暂无数据,低楼层,3,2室1厅,195.0,怀柔,精装,94.99,2009
101123119776,南北,青荷里南山园,有,中楼层,29,2室2厅,303.0,朝阳,简装,93.4,
101123531227,东西,迎风四里,无,中楼层,6,2室1厅,65.0,房山,毛坯,57.36,1982
101123741031,南,后现代城D区,有,高楼层,27,2室2厅,620.0,朝阳,精装,99.43,2006
101123861510,东,安贞西里,有,中楼层,14,2室1厅,430.0,朝阳,精装,56.99,1987
101123325537,南北,世纪星城三期,有,高楼层,18,2室2厅,459.0,通州,精装,99.51,
101123266495,东西,新融苑,有,中楼层,13,2室2厅,1760.0,西城,精装,122.2,
101122127906,南北,西木小区,无,中楼层,5,2室1厅,409.0,海淀,简装,53.7,1986
101121930901,南北,通惠小区,无,低楼层,6,2室1厅,228.0,通州,精装,60.35,1995
101123024237,南北,清华东路27号院,无,高楼层,7,4室2厅,720.0,海淀,精装,125.31,
101123069309,南北西,新安南里,无,底层,6,3室1厅,618.0,西城,简装,61.4,1980
101124050922,南北,宝星国际二期,有,中楼层,25,2室1厅,760.0,朝阳,精装,108.67,
101123404886,南北,加气混凝土厂宿舍,无,顶层,5,2室1厅,318.0,海淀,简装,57.5,
101123119566,北,珠江骏景北区,有,高楼层,24,1室0厅,215.0,丰台,简装,51.43,
101123973795,南北,宝盛北里,有,高楼层,9,3室1厅,950.0,海淀,简装,139.69,
101124101891,南,黄金苑,有,低楼层,18,2室1厅,500.0,朝阳,简装,119.1,
101123160925,南,紫金新干线,有,顶层,9,2室1厅,466.0,昌平,简装,82.62,2009
101120269250,南北,和义东里四区,无,顶层,6,2室1厅,196.0,丰台,简装,62.08,
101123363818,南北,松榆里,无,底层,6,2室1厅,285.0,朝阳,简装,55.11,
101124141087,南,房地远洋悦山水,暂无数据,中楼层,22,1室1厅,165.0,通州,简装,54.88,2017
101120867144,南北,青秀雅苑,有,中楼层,21,2室1厅,435.0,丰台,精装,91.62,2011
101123687805,南北,融科钧廷,有,中楼层,10,3室2厅,506.0,通州,精装,141.01,2011
101123001056,南,蓝星花园,有,高楼层,11,1室0厅,169.0,顺义,简装,30.41,2006
101123557505,西,增光佳苑,有,顶层,10,2室1厅,790.0,海淀,简装,81.57,
101122995199,南北,上林世家,有,高楼层,18,3室2厅,2250.0,朝阳,精装,179.94,
101123621467,南北,西马庄园,无,中楼层,6,2室1厅,188.0,通州,简装,64.05,
